id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,index fit,34,23,11,41,242,ship,baseline,monotonic-signal
g002,join width,83,20,31,39,388,ship,edge,drag-penalty
g003,constraint risk,111,21,43,60,520,ship,recovery,confidence-floor
g004,plan drift,40,24,8,101,394,ship,negative,lane-boundary
g005,index fit,96,28,34,83,538,ship,baseline,monotonic-signal
g006,join width,40,33,7,78,368,ship,edge,drag-penalty
g007,constraint risk,103,73,37,80,644,ship,recovery,confidence-floor
g008,plan drift,50,25,11,86,400,ship,negative,lane-boundary
g009,index fit,71,39,42,93,464,ship,baseline,monotonic-signal
g010,join width,41,48,17,58,342,ship,edge,drag-penalty
g011,constraint risk,30,20,6,45,238,ship,recovery,confidence-floor
g012,plan drift,72,9,23,43,346,ship,negative,lane-boundary
g013,index fit,96,41,42,90,562,ship,baseline,monotonic-signal
g014,join width,68,59,23,32,408,ship,edge,drag-penalty
g015,constraint risk,57,36,15,50,370,ship,recovery,confidence-floor
g016,plan drift,99,27,12,64,554,ship,negative,lane-boundary
g017,index fit,80,60,12,75,566,ship,baseline,monotonic-signal
g018,join width,30,9,14,85,280,ship,edge,drag-penalty
g019,constraint risk,52,56,37,52,350,ship,recovery,confidence-floor
g020,plan drift,67,12,8,40,356,ship,negative,lane-boundary
g021,index fit,34,62,37,38,262,ship,baseline,monotonic-signal
g022,join width,65,20,11,59,396,ship,edge,drag-penalty
g023,constraint risk,84,71,42,100,594,ship,recovery,confidence-floor
g024,plan drift,97,64,38,82,604,ship,negative,lane-boundary
g025,index fit,107,60,16,77,670,ship,baseline,monotonic-signal
g026,join width,115,29,28,79,620,ship,edge,drag-penalty
g027,constraint risk,35,51,35,85,342,ship,recovery,confidence-floor
g028,plan drift,86,64,19,92,618,ship,negative,lane-boundary
g029,index fit,115,38,34,57,582,ship,baseline,monotonic-signal
g030,join width,45,28,22,44,280,ship,edge,drag-penalty
g031,constraint risk,102,25,38,42,466,ship,recovery,confidence-floor
g032,plan drift,75,26,27,89,476,ship,negative,lane-boundary
g033,index fit,36,29,44,31,176,ship,baseline,monotonic-signal
g034,join width,64,33,33,49,354,ship,edge,drag-penalty
g035,constraint risk,81,38,8,63,510,ship,recovery,confidence-floor
g036,plan drift,49,8,27,74,306,ship,negative,lane-boundary
g037,index fit,81,30,8,84,536,ship,baseline,monotonic-signal
g038,join width,56,44,42,51,330,ship,edge,drag-penalty
g039,constraint risk,91,53,39,39,470,ship,recovery,confidence-floor
g040,plan drift,112,25,39,37,494,ship,negative,lane-boundary
g041,index fit,82,14,41,58,390,ship,baseline,monotonic-signal
g042,join width,71,46,22,99,530,ship,edge,drag-penalty
g043,constraint risk,113,64,35,81,672,ship,recovery,confidence-floor
g044,plan drift,49,41,22,76,386,ship,negative,lane-boundary
g045,index fit,109,32,38,78,580,ship,baseline,monotonic-signal
g046,join width,98,65,27,84,636,ship,edge,drag-penalty
g047,constraint risk,52,14,23,91,372,ship,recovery,confidence-floor
g048,plan drift,33,61,43,56,280,ship,negative,lane-boundary
g049,index fit,71,17,13,43,378,ship,baseline,monotonic-signal
g050,join width,93,67,20,41,548,ship,edge,drag-penalty
g051,constraint risk,108,25,4,88,650,ship,recovery,confidence-floor
g052,plan drift,75,76,19,30,474,ship,negative,lane-boundary
g053,index fit,106,69,7,48,644,ship,baseline,monotonic-signal
g054,join width,37,65,23,62,356,ship,edge,drag-penalty
g055,constraint risk,50,34,12,73,390,ship,recovery,confidence-floor
g056,plan drift,60,56,29,83,460,ship,negative,lane-boundary
g057,index fit,68,69,18,50,474,ship,baseline,monotonic-signal
g058,join width,76,43,35,38,396,ship,edge,drag-penalty
g059,constraint risk,39,33,12,36,270,ship,recovery,confidence-floor
g060,plan drift,68,30,35,57,376,ship,negative,lane-boundary
g061,index fit,86,31,27,98,548,ship,baseline,monotonic-signal
g062,join width,55,34,24,80,400,ship,edge,drag-penalty
g063,constraint risk,116,38,24,75,642,ship,recovery,confidence-floor
g064,plan drift,77,43,26,77,496,ship,negative,lane-boundary
g065,index fit,105,13,7,83,598,ship,baseline,monotonic-signal
g066,join width,34,35,20,90,346,ship,edge,drag-penalty
g067,constraint risk,90,49,7,55,554,ship,recovery,confidence-floor
g068,plan drift,34,58,23,42,290,ship,negative,lane-boundary
g069,index fit,97,30,12,40,504,ship,baseline,monotonic-signal
g070,join width,44,19,8,87,372,ship,edge,drag-penalty
g071,constraint risk,65,51,28,29,364,ship,recovery,confidence-floor
g072,plan drift,35,69,40,47,292,ship,negative,lane-boundary
g073,index fit,112,46,5,61,652,ship,baseline,monotonic-signal
g074,join width,66,37,31,72,420,ship,edge,drag-penalty
g075,constraint risk,90,70,4,82,656,ship,recovery,confidence-floor
g076,plan drift,62,19,34,49,316,ship,negative,lane-boundary
g077,index fit,51,66,8,37,394,ship,baseline,monotonic-signal
g078,join width,93,22,39,35,408,ship,edge,drag-penalty
g079,constraint risk,74,72,14,56,524,ship,recovery,confidence-floor
g080,plan drift,112,30,45,97,612,ship,negative,lane-boundary
g081,index fit,46,11,20,79,324,ship,baseline,monotonic-signal
g082,join width,61,74,39,74,462,ship,edge,drag-penalty
g083,constraint risk,116,70,20,76,716,ship,recovery,confidence-floor
g084,plan drift,59,39,12,82,454,ship,negative,lane-boundary
g085,index fit,78,61,9,89,594,ship,baseline,monotonic-signal
g086,join width,91,74,9,54,602,ship,edge,drag-penalty
g087,constraint risk,101,48,11,41,560,ship,recovery,confidence-floor
g088,plan drift,109,38,34,39,522,ship,negative,lane-boundary
g089,index fit,117,35,5,86,700,ship,baseline,monotonic-signal
g090,join width,80,36,34,28,380,ship,edge,drag-penalty
g091,constraint risk,109,39,8,46,590,ship,recovery,confidence-floor
g092,plan drift,39,43,39,60,284,ship,negative,lane-boundary
g093,index fit,96,48,35,71,552,ship,baseline,monotonic-signal
g094,join width,69,18,13,81,448,ship,edge,drag-penalty
g095,constraint risk,30,40,25,48,246,ship,recovery,confidence-floor
g096,plan drift,58,54,32,36,348,ship,negative,lane-boundary
